Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
0.03,0.0,0.01,0.0,0.02,0.0,0.93
0.02,0.0,0.01,0.01,0.03,0.0,0.94
0.06,0.0,0.05,0.02,0.02,0.08,0.78
0.0,0.0,0.0,0.98,0.0,0.0,0.02
0.0,0.0,0.0,0.99,0.0,0.0,0.01
0.06,0.0,0.03,0.0,0.02,0.01,0.88
0.07,0.0,0.12,0.01,0.04,0.04,0.71
0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0
