angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[825, 176, 291, 371]",0.0,0.02,0.0,0.86,0.11,0.0
0.01,"[825, 176, 291, 371]",0.0,0.02,0.0,0.86,0.11,0.0
0.01,"[825, 176, 291, 371]",0.0,0.02,0.0,0.86,0.11,0.0
0.01,"[824, 176, 293, 373]",0.0,0.02,0.0,0.87,0.11,0.0
0.01,"[824, 176, 293, 373]",0.0,0.02,0.0,0.86,0.11,0.0
0.01,"[824, 175, 293, 374]",0.0,0.02,0.0,0.86,0.1,0.01
0.01,"[824, 175, 293, 374]",0.0,0.02,0.0,0.86,0.1,0.01
0.01,"[824, 175, 293, 374]",0.0,0.02,0.0,0.86,0.1,0.01
0.01,"[822, 175, 294, 375]",0.0,0.01,0.0,0.86,0.11,0.01
0.01,"[822, 176, 293, 374]",0.0,0.02,0.0,0.85,0.11,0.01
0.01,"[821, 176, 294, 376]",0.0,0.02,0.0,0.84,0.12,0.01
0.01,"[820, 176, 295, 375]",0.0,0.02,0.0,0.82,0.14,0.01
0.01,"[820, 176, 295, 375]",0.0,0.02,0.0,0.82,0.14,0.01
0.01,"[818, 176, 295, 378]",0.0,0.02,0.0,0.87,0.1,0.0
0.01,"[818, 176, 295, 377]",0.0,0.01,0.0,0.88,0.09,0.01
0.01,"[817, 176, 295, 379]",0.0,0.02,0.0,0.88,0.09,0.0
0.02,"[817, 176, 295, 378]",0.0,0.02,0.0,0.83,0.13,0.01
0.02,"[817, 176, 295, 378]",0.0,0.02,0.0,0.83,0.13,0.01
0.01,"[842, 200, 275, 345]",0.0,0.04,0.0,0.86,0.08,0.01
0.01,"[841, 199, 277, 346]",0.0,0.04,0.0,0.85,0.09,0.01
0.01,"[842, 201, 276, 344]",0.0,0.04,0.0,0.86,0.08,0.01
0.01,"[842, 201, 276, 344]",0.0,0.04,0.0,0.86,0.08,0.01
0.01,"[842, 201, 276, 344]",0.0,0.04,0.0,0.86,0.08,0.01
0.01,"[842, 201, 276, 344]",0.0,0.04,0.0,0.87,0.07,0.01
0.01,"[842, 201, 276, 343]",0.0,0.03,0.0,0.88,0.07,0.01
0.01,"[844, 201, 275, 343]",0.0,0.04,0.0,0.87,0.08,0.01
0.01,"[844, 201, 275, 343]",0.0,0.04,0.0,0.87,0.08,0.01
0.01,"[844, 201, 275, 343]",0.0,0.04,0.0,0.87,0.08,0.01
0.01,"[843, 200, 275, 342]",0.0,0.04,0.0,0.85,0.09,0.01
0.01,"[843, 200, 275, 342]",0.0,0.04,0.0,0.85,0.09,0.01
0.01,"[845, 200, 273, 342]",0.0,0.05,0.0,0.86,0.07,0.01
0.01,"[845, 200, 273, 343]",0.0,0.05,0.0,0.86,0.07,0.01
0.01,"[845, 200, 273, 342]",0.0,0.05,0.0,0.86,0.07,0.01
0.01,"[818, 177, 293, 375]",0.0,0.02,0.0,0.88,0.09,0.01
0.01,"[818, 177, 293, 374]",0.0,0.02,0.0,0.83,0.12,0.01
0.01,"[845, 200, 273, 345]",0.0,0.03,0.0,0.9,0.05,0.01
0.0,"[845, 200, 273, 345]",0.0,0.03,0.0,0.9,0.05,0.01
0.0,"[845, 200, 273, 345]",0.0,0.03,0.0,0.91,0.05,0.01
0.01,"[843, 201, 274, 343]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[843, 201, 274, 343]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[845, 201, 274, 342]",0.0,0.04,0.0,0.86,0.08,0.01
0.01,"[845, 201, 274, 342]",0.0,0.04,0.0,0.86,0.08,0.01
0.01,"[845, 201, 274, 342]",0.0,0.04,0.0,0.86,0.08,0.01
0.01,"[844, 201, 274, 343]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[844, 201, 274, 343]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[843, 200, 275, 345]",0.0,0.03,0.0,0.92,0.04,0.01
0.01,"[844, 200, 274, 345]",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"[844, 200, 274, 345]",0.0,0.03,0.0,0.9,0.05,0.0
0.0,"[846, 202, 274, 344]",0.0,0.03,0.0,0.93,0.03,0.0
0.0,"[846, 203, 274, 343]",0.0,0.03,0.0,0.92,0.04,0.0
0.01,"[848, 203, 273, 342]",0.0,0.04,0.0,0.88,0.07,0.01
0.01,"[848, 203, 273, 342]",0.0,0.04,0.0,0.88,0.07,0.01
0.01,"[848, 203, 273, 342]",0.0,0.04,0.0,0.88,0.07,0.01
0.01,"[847, 203, 275, 344]",0.0,0.03,0.0,0.9,0.06,0.01
0.01,"[847, 203, 275, 344]",0.0,0.04,0.0,0.89,0.06,0.01
0.01,"[847, 203, 275, 344]",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"[847, 203, 274, 344]",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"[847, 203, 275, 344]",0.0,0.04,0.0,0.88,0.07,0.01
0.01,"[848, 205, 274, 343]",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"[848, 205, 274, 342]",0.0,0.03,0.0,0.91,0.04,0.01
0.01,"[847, 203, 276, 345]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[846, 203, 277, 345]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[846, 203, 277, 345]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[848, 202, 276, 346]",0.0,0.03,0.0,0.9,0.06,0.01
0.01,"[848, 202, 276, 346]",0.0,0.03,0.0,0.9,0.06,0.01
0.01,"[825, 184, 293, 375]",0.0,0.01,0.0,0.9,0.08,0.0
0.0,"[825, 184, 293, 376]",0.0,0.01,0.0,0.93,0.06,0.0
0.0,"[825, 184, 293, 376]",0.0,0.01,0.0,0.93,0.06,0.0
0.01,"[827, 182, 293, 375]",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"[827, 182, 293, 375]",0.0,0.01,0.0,0.92,0.07,0.0
0.01,"[843, 199, 279, 351]",0.0,0.03,0.0,0.9,0.06,0.01
0.01,"[843, 199, 279, 351]",0.0,0.03,0.0,0.9,0.06,0.01
0.01,"[843, 199, 279, 351]",0.0,0.03,0.0,0.9,0.06,0.01
0.01,"[845, 201, 278, 348]",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"[846, 201, 277, 348]",0.0,0.03,0.0,0.89,0.06,0.0
0.01,"[847, 202, 277, 347]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[849, 201, 277, 346]",0.0,0.05,0.0,0.87,0.06,0.01
0.01,"[849, 200, 277, 348]",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"[847, 200, 280, 350]",0.0,0.08,0.0,0.84,0.05,0.02
0.01,"[848, 200, 279, 350]",0.0,0.06,0.0,0.86,0.05,0.02
0.01,"[848, 200, 279, 350]",0.0,0.06,0.0,0.86,0.05,0.02
0.01,"[847, 199, 279, 350]",0.0,0.09,0.0,0.81,0.06,0.02
0.01,"[847, 199, 279, 350]",0.0,0.09,0.0,0.81,0.06,0.03
0.01,"[847, 193, 284, 358]",0.0,0.26,0.0,0.29,0.05,0.39
0.01,"[847, 194, 284, 357]",0.0,0.28,0.0,0.29,0.06,0.36
0.01,"[847, 194, 284, 357]",0.0,0.28,0.0,0.29,0.06,0.36
0.02,"[845, 191, 283, 360]",0.0,0.49,0.0,0.05,0.03,0.41
0.02,"[844, 191, 284, 360]",0.0,0.49,0.0,0.05,0.03,0.41
0.02,"[845, 189, 281, 354]",0.0,0.34,0.03,0.02,0.02,0.57
0.02,"[845, 189, 281, 354]",0.0,0.33,0.04,0.02,0.02,0.58
0.02,"[846, 191, 280, 352]",0.0,0.27,0.05,0.02,0.02,0.61
0.01,"[844, 187, 280, 351]",0.0,0.04,0.44,0.01,0.0,0.5
0.0,"[845, 186, 279, 353]",0.0,0.05,0.51,0.01,0.0,0.43
0.0,"[846, 188, 279, 347]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[846, 188, 279, 348]",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"[846, 188, 279, 348]",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"[831, 181, 297, 364]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[831, 181, 297, 364]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[830, 180, 296, 362]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[830, 180, 296, 362]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[830, 180, 296, 362]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[828, 176, 298, 365]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[828, 175, 298, 365]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[829, 166, 293, 371]",0.0,0.01,0.96,0.0,0.0,0.03
0.0,"[829, 166, 293, 371]",0.0,0.01,0.96,0.0,0.0,0.03
0.0,"[829, 166, 293, 371]",0.0,0.01,0.96,0.0,0.0,0.03
0.0,"[825, 169, 294, 369]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[825, 169, 294, 369]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[828, 166, 293, 371]",0.0,0.01,0.95,0.0,0.0,0.04
0.0,"[828, 166, 293, 371]",0.0,0.01,0.96,0.0,0.0,0.04
0.0,"[828, 166, 293, 371]",0.0,0.01,0.95,0.0,0.0,0.04
0.0,"[827, 167, 293, 369]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[827, 166, 293, 371]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[829, 166, 293, 372]",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"[829, 166, 293, 372]",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"[829, 166, 293, 372]",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"[828, 179, 296, 363]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[828, 179, 296, 363]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[830, 179, 295, 363]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[830, 179, 295, 362]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[831, 182, 294, 360]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[832, 183, 296, 360]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[832, 183, 296, 360]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[834, 182, 295, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[834, 182, 295, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[834, 182, 295, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[846, 186, 281, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[846, 186, 281, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 184, 283, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 184, 283, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 184, 283, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[843, 183, 285, 344]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[843, 183, 285, 344]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[845, 184, 283, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[845, 184, 283, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[845, 184, 283, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 186, 281, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 186, 281, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[848, 184, 281, 341]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[848, 185, 281, 340]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[848, 185, 281, 340]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[836, 185, 294, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[836, 185, 294, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[835, 186, 293, 360]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[835, 187, 293, 359]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[835, 187, 293, 359]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[840, 182, 282, 347]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[840, 181, 282, 348]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[825, 162, 293, 373]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[825, 162, 293, 373]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[824, 162, 293, 373]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[827, 168, 291, 368]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[826, 167, 292, 368]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[828, 167, 291, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[828, 168, 291, 368]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[828, 168, 291, 368]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[838, 182, 283, 347]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[838, 182, 283, 347]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 183, 281, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 183, 281, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 183, 281, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 185, 279, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 185, 279, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[837, 190, 290, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[836, 190, 291, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[836, 190, 291, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[839, 192, 290, 353]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[837, 191, 291, 354]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[852, 192, 276, 334]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 193, 276, 333]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 193, 276, 333]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 191, 280, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 191, 280, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 191, 278, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 191, 278, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 191, 278, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 192, 278, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 192, 278, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 192, 277, 335]",0.0,0.0,0.99,0.0,0.0,0.01
