angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.32,"[778, 261, 289, 364]",0.0,0.2,0.0,0.29,0.14,0.04
0.35,"[778, 261, 288, 364]",0.0,0.22,0.0,0.24,0.15,0.04
0.35,"[778, 261, 288, 364]",0.0,0.22,0.0,0.24,0.15,0.04
0.41,"[782, 271, 284, 354]",0.0,0.26,0.0,0.16,0.13,0.04
0.41,"[782, 271, 284, 354]",0.0,0.26,0.0,0.16,0.13,0.04
0.45,"[783, 278, 281, 351]",0.0,0.25,0.0,0.15,0.13,0.03
0.45,"[783, 278, 281, 351]",0.0,0.24,0.0,0.14,0.13,0.03
0.45,"[783, 278, 281, 351]",0.0,0.24,0.0,0.14,0.13,0.03
0.24,"[777, 263, 298, 374]",0.0,0.22,0.0,0.31,0.17,0.06
0.25,"[777, 264, 298, 373]",0.0,0.24,0.0,0.26,0.17,0.08
0.28,"[777, 265, 298, 373]",0.0,0.23,0.0,0.23,0.18,0.08
0.27,"[777, 265, 298, 373]",0.0,0.24,0.0,0.23,0.18,0.08
0.27,"[777, 265, 298, 373]",0.0,0.24,0.0,0.23,0.18,0.08
0.25,"[777, 263, 298, 376]",0.0,0.19,0.0,0.31,0.16,0.08
0.25,"[777, 263, 298, 376]",0.0,0.19,0.0,0.31,0.16,0.08
0.22,"[782, 282, 289, 364]",0.0,0.3,0.0,0.29,0.11,0.08
0.18,"[782, 283, 289, 364]",0.0,0.26,0.0,0.37,0.13,0.06
0.18,"[782, 283, 289, 364]",0.0,0.26,0.0,0.37,0.13,0.06
0.16,"[777, 261, 296, 376]",0.0,0.21,0.0,0.42,0.11,0.09
0.16,"[777, 261, 295, 376]",0.0,0.22,0.0,0.41,0.11,0.1
0.18,"[784, 263, 282, 373]",0.0,0.3,0.0,0.26,0.11,0.14
0.16,"[784, 262, 281, 374]",0.0,0.25,0.0,0.33,0.11,0.14
0.16,"[784, 262, 281, 374]",0.0,0.26,0.0,0.33,0.11,0.14
0.14,"[780, 252, 285, 390]",0.0,0.15,0.0,0.43,0.15,0.12
0.15,"[780, 252, 285, 390]",0.0,0.15,0.0,0.43,0.15,0.12
0.27,"[776, 266, 295, 373]",0.0,0.19,0.0,0.34,0.14,0.06
0.2,"[781, 257, 280, 382]",0.0,0.13,0.0,0.45,0.15,0.06
0.2,"[781, 257, 280, 382]",0.0,0.13,0.0,0.45,0.15,0.06
0.19,"[784, 264, 283, 371]",0.0,0.24,0.0,0.34,0.1,0.13
0.19,"[784, 264, 283, 371]",0.0,0.23,0.0,0.35,0.11,0.12
0.12,"[781, 283, 289, 366]",0.0,0.16,0.0,0.56,0.13,0.03
0.12,"[781, 283, 289, 366]",0.0,0.16,0.0,0.56,0.13,0.03
0.12,"[781, 283, 289, 366]",0.0,0.16,0.0,0.56,0.13,0.03
